numero,page,texte,lien
0836.157.420,1,"19) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ALGEMENE VERGADERING 2013-02-20 / 0030313 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=18&btw=836157420
0836.157.420,1,"20) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 KAPITAAL - AANDELEN 2013-01-24 / 0014117 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=19&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 KAPITAAL - AANDELEN 2013-01-24 / 0014117 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2013/01/24/13014117.pdf
0836.157.420,1,"20) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 KAPITAAL - AANDELEN 2013-01-24 / 0014117 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=19&btw=836157420
0836.157.420,1,21) APPLE RETAIL BELGIUM BVBA LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 MAATSCHAPPELIJKE ZETEL 2012-09-24 / 0158690 IMAGE,https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=20&btw=836157420
0836.157.420,1,LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 MAATSCHAPPELIJKE ZETEL 2012-09-24 / 0158690 IMAGE,https://www.ejustice.just.fgov.be/tsv_pdf/2012/09/24/12158690.pdf
0836.157.420,1,21) APPLE RETAIL BELGIUM BVBA LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 MAATSCHAPPELIJKE ZETEL 2012-09-24 / 0158690 IMAGE DETAIL,https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=20&btw=836157420
0836.157.420,1,"22) APPLE RETAIL BELGIUM BVBA LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 KAPITAAL - AANDELEN - STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) 2012-02-28 / 0046285 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=21&btw=836157420
0836.157.420,1,"LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 KAPITAAL - AANDELEN - STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) 2012-02-28 / 0046285 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2012/02/28/12046285.pdf
0836.157.420,1,"22) APPLE RETAIL BELGIUM BVBA LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 KAPITAAL - AANDELEN - STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) 2012-02-28 / 0046285 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=21&btw=836157420
0836.157.420,1,"23) APPLE RETAIL BELGIUM BVBA LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) 2012-02-15 / 0037975 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=22&btw=836157420
0836.157.420,1,"LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) 2012-02-15 / 0037975 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2012/02/15/12037975.pdf
0836.157.420,1,"23) APPLE RETAIL BELGIUM BVBA LOUIZALAAN 331-333 1050 BRUSSEL 836.157.420 STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) 2012-02-15 / 0037975 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=22&btw=836157420
0836.157.420,1,"24) APPLE RETAIL BELGIUM SPRL HAVENLAAN 86C, BUS 204 1000 BRUXELLES 836.157.420 DIVERS 2012-02-15 / 0037976 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=23&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUXELLES 836.157.420 DIVERS 2012-02-15 / 0037976 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2012/02/15/12037976.pdf
0836.157.420,1,"24) APPLE RETAIL BELGIUM SPRL HAVENLAAN 86C, BUS 204 1000 BRUXELLES 836.157.420 DIVERS 2012-02-15 / 0037976 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=23&btw=836157420
0836.157.420,1,"25) APPLE RETAIL BELGIUM SPRL AVENUE LOUISE 331-333 1050 BRUXELLES 836.157.420 RUBRIQUE CONSTITUTION (NOUVELLE PERSONNE MORALE, OUVERTURE SUCCURSALE, ETC...) 2011-05-20 / 0076017 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=24&btw=836157420
0836.157.420,1,"AVENUE LOUISE 331-333 1050 BRUXELLES 836.157.420 RUBRIQUE CONSTITUTION (NOUVELLE PERSONNE MORALE, OUVERTURE SUCCURSALE, ETC...) 2011-05-20 / 0076017 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2011/05/20/11076017.pdf
