numero,page,texte,lien
0878.065.378,1,"18) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-01-06 / 0003705 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=17&btw=878065378
0878.065.378,1,"19) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2015, GGK 03.06.2016, NGL 16.06.2016 16191-0202-037 2016-06-23 / 0108350",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=18&btw=878065378
0878.065.378,1,"19) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2015, GGK 03.06.2016, NGL 16.06.2016 16191-0202-037 2016-06-23 / 0108350 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=18&btw=878065378
0878.065.378,1,"20) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2016-02-17 / 0025190 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=19&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2016-02-17 / 0025190 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2016/02/17/16025190.pdf
0878.065.378,1,"20) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2016-02-17 / 0025190 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=19&btw=878065378
0878.065.378,1,"21) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 BOEKJAAR 2015-07-28 / 0108399 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=20&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 BOEKJAAR 2015-07-28 / 0108399 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2015/07/28/15108399.pdf
0878.065.378,1,"21) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 BOEKJAAR 2015-07-28 / 0108399 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=20&btw=878065378
0878.065.378,1,"22) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2014, GGK 05.06.2015, NGL 18.06.2015 15192-0053-037 2015-06-24 / 0109746",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=21&btw=878065378
0878.065.378,1,"22) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2014, GGK 05.06.2015, NGL 18.06.2015 15192-0053-037 2015-06-24 / 0109746 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=21&btw=878065378
